PWSID,Water System Name,Water System Website,CCR, Population , Service Connections , Median Household Income , Water Bill ,Hours of Minimum Wage,Governance Type,Leadership Mechanism,Upcoming Election,GoverningBody, Average Governing Body Compensation ,Leadership Pop_Asian,Leadership Pop_Black,Leadership Pop_Hispanic,Leadership Pop_NA,Leadership Pop_TwoOrMore,Leadership Pop_White,Required Operator,Highest Operator On Staff,RiskScore,Water Quality Violations 2015-2019,Primary Water Source
CA1900075,BLEICH FLATS MUTUAL,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2199&tinwsys_st_code=CA&wsnumber=CA1900075,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2199&tinwsys_st_code=CA&wsnumber=CA1900075, 93 , 34 ," $63,365 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officers,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Not At-Risk,2,GW
CA1900903,SLEEPY VALLEY WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2405&tinwsys_st_code=CA&wsnumber=CA1900903,https://drinc.ca.gov/ear/CCR/CCR2019CA1900903.pdf, 130 , 62 ," $105,702 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officers,  No Compensation Data  ,0,0,0,0,0,0,None,None,HR2W,0,GW
CA1900155,WILSONA GARDENS MUTUAL,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2235&tinwsys_st_code=CA&wsnumber=CA1900155,https://drinc.ca.gov/ear/CCR/CCRCERT2019CA1900155.pdf, 74 , 37 ," $33,750 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,NA,D1,Not At-Risk,0,GW
CA1900721,TERRA NOVA MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2344&tinwsys_st_code=CA&wsnumber=CA1900721,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2344&tinwsys_st_code=CA&wsnumber=CA1900721, 140 , 75 ," $34,306 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,Not At-Risk,0,GW
CA1900649,GOLDEN SANDS MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemFacility.jsp?tinwsys_is_number=2318&tinwsys_st_code=CA&tinwsf_is_number=60025&tinwsf_st_code=CA&wsf_id=002&wsf_name=WELL%2002,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2318&tinwsys_st_code=CA&wsnumber=CA1900649, 450 , 152 ," $38,965 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Not At-Risk,0,GW
CA1900843,CALIFORNIAN MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2393&tinwsys_st_code=CA&wsnumber=CA1900843,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2393&tinwsys_st_code=CA&wsnumber=CA1900843, 372 , 133 ," $38,965 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Potentially At-Risk,0,GW
CA1900636,EL RANCHO MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2314&tinwsys_st_code=CA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2314&tinwsys_st_code=CA, 215 , 76 ," $45,196 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,Not At-Risk,0,GW
CA1910108,CITY OF BELL GARDENS,https://www.bellgardens.org/government/city-departments/public-works/water,https://drinc.ca.gov/ear/CCR/CCR2019CA1910108.pdf," 11,292 "," 1,658 "," $46,269 ", No Water Bill Data ,No Water Bill Data,City/Municipal,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,NA,NA,Not At-Risk,0,SWP
CA1900801,COLORADO MUTUAL WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2375&tinwsys_st_code=CA&wsnumber=CA1900801,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2375&tinwsys_st_code=CA&wsnumber=CA1900801, 30 , 13 ," $49,625 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Not At-Risk,0,GW
CA1900154,TIERRA BONITA MUTUAL WATER,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2234&tinwsys_st_code=CA&wsnumber=CA1900154,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2234&tinwsys_st_code=CA&wsnumber=CA1900154, 75 , 32 ," $49,625 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Potentially At-Risk,0,GW
CA1900509,BAXTER MUTUAL WATER CO.,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2261&tinwsys_st_code=CA&counter=0,https://sdwis.waterboards.ca.gov/PDWW/, 20 , 10 ," $49,625 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,No Operator Data,No Operator Data,Not In Risk Assessment,,GW
CA1900849,LLANO DEL RIO WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2394&tinwsys_st_code=CA&wsnumber=CA1900849,https://drinc.ca.gov/ear/CCR/CCR2019CA1900849.pdf, 510 , 179 ," $53,830 ", No Water Bill Data ,No Water Bill Data,Investor Owned Utility,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T1,Not In Risk Assessment,0,GW
CA1900158,LITTLE BALDY WATER,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2236&tinwsys_st_code=CA&wsnumber=CA1900158,https://drinc.ca.gov/ear/CCR/CCR2019CA1900158.pdf, 55 , 36 ," $53,830 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T1,Not At-Risk,0,GW
CA1910066,LEISURE LAKE MOBILE ESTATES,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2543&tinwsys_st_code=CA&wsnumber=CA1910066,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2543&tinwsys_st_code=CA&wsnumber=CA1910066, 325 , 211 ," $54,066 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,Any Level,T2,Not At-Risk,0,GW
CA1900785,MITCHELL'S AVENUE E MOBILE HOME PARK,https://www.rvparklancaster.com/,https://sdwis.waterboards.ca.gov/PDWW/, 24 , 24 ," $54,066 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,None,HR2W,12,GW
CA1910047,HAWTHORNE-CITY WATER DEPT.,https://www.cityofhawthorne.org/departments/public-works,https://drinc.ca.gov/ear/CCR/CCR2019CA1910047.pdf," 44,649 "," 6,219 "," $54,780 ", No Water Bill Data ,No Water Bill Data,City/Municipal,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T3,T3,Not In Risk Assessment,0,SWP
CA1900817,CLEAR SKIES MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2385&tinwsys_st_code=CA&wsnumber=CA1900817,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2385&tinwsys_st_code=CA&wsnumber=CA1900817, 131 , 47 ," $55,585 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,None,At-Risk,2,GW
CA1900907,SHERWOOD MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2407&tinwsys_st_code=CA&wsnumber=CA1900907,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2407&tinwsys_st_code=CA&wsnumber=CA1900907, 540 , 185 ," $56,757 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,Not At-Risk,0,GW
CA1900038,LANCASTER PARK MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2182&tinwsys_st_code=CA&wsnumber=CA1900038,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2182&tinwsys_st_code=CA#, 61 , 21 ," $56,757 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,HR2W,17,GW
CA1900541,WESTERN SKIES MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2277&tinwsys_st_code=CA&wsnumber=CA1900541,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2277&tinwsys_st_code=CA&wsnumber=CA1900541, 198 , 61 ," $56,757 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Potentially At-Risk,0,GW
CA1900520,THE VILLAGE MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2266&tinwsys_st_code=CA&wsnumber=CA1900520,https://sdwis.waterboards.ca.gov/PDWW/, 50 , 34 ," $56,757 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,HR2W,16,GW
CA1900741,YOUNG-NAK PRESBYTERIAN CHURCH,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2353&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900741.pdf, 25 , 29 ," $57,625 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,,,Not In Risk Assessment,,GW
CA1900961,WINTERHAVEN MOBILE ESTATES,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2429&tinwsys_st_code=CA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2429&tinwsys_st_code=CA&wsnumber=CA1900961, 56 , 20 ," $63,365 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T2,HR2W,15,GW
CA1900767,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2364&tinwsys_st_code=CA&wsnumber=CA1900767,https://drinc.ca.gov/ear/CCR/CCR2019CA1900767.pdf, 70 , 17 ," $63,365 ", No Water Bill Data ,No Water Bill Data,Special District,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,None,Not At-Risk,0,GW
CA1910305,QUAIL CANYON SEA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=13802&tinwsys_st_code=CA&wsnumber=CA1910305,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=13802&tinwsys_st_code=CA&wsnumber=CA1910305," 3,300 ", 2 ," $63,365 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,No Operator Data,No Operator Data,Not In Risk Assessment,,GW
CA1910254,HUNGRY VALLEY STATE VEHICULAR REC AREA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2644&tinwsys_st_code=CA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2644&tinwsys_st_code=CA," 3,367 ", 12 ," $63,365 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,No Operator Data,No Operator Data,Not In Risk Assessment,,GW
CA1900808,LANCASTER WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2380&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900808.pdf, 80 , 24 ," $63,562 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,D1 (no T),Not At-Risk,3,GW
CA1900942,ALPINE SPRINGS MOBILE HOME PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2421&tinwsys_st_code=CA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2421&tinwsys_st_code=CA&wsnumber=CA1900942, 175 , 52 ," $65,431 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Potentially At-Risk,3,GW
CA1900542,"LOS ANGELES, CITY OF - POWER PLANT #2",https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2278&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900542.pdf, 41 , 14 ," $73,980 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,No Operator Data,No Operator Data,At-Risk,,SW
CA1900529,CAMP WILLIAMS-RESORT WATER,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2272&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900529.pdf, 80 , 67 ," $84,219 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,D1 (no T),Not At-Risk,0,GW
CA1910801,FENNER CANYON YOUTH CONSERVATION CAMP,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2655&tinwsys_st_code=CA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2655&tinwsys_st_code=CA&wsnumber=CA1910801, 100 , 1 ," $84,219 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T1,Potentially At-Risk,0,GW
CA1900581,MOUNTAIN HIGH EAST SKI AREA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2293&tinwsys_st_code=CA&wsnumber=CA1900581,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2293&tinwsys_st_code=CA, 150 , 4 ," $84,219 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,No Operator Data,No Operator Data,Not In Risk Assessment,,GW
CA1900583,USFS-JACKSON LAKE V-4,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2294&tinwsys_st_code=CA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2294&tinwsys_st_code=CA&wsnumber=CA1900583, 805 , 11 ," $84,219 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,No Operator Data,No Operator Data,Not In Risk Assessment,,GW
CA1900616,THE RIVER COMMUNITY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2309&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900616.pdf, 35 , 9 ," $84,219 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Potentially At-Risk,0,GW
CA1900555,"LOS ANGELES, CITY OF - POWER PLANT #1",https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2283&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900542.pdf, 20 , 19 ," $87,798 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,No Operator Data,No Operator Data,At-Risk,,SW
CA1910099,PARADISE RANCH MHP,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2563&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1910099.pdf, 345 , 95 ," $90,214 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,Potentially At-Risk,0,GW
CA1900976,THE OAKS,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2432&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900976.pdf, 67 , 25 ," $90,214 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,None,Potentially At-Risk,2,GW
CA1900556,VASQUEZ ROCKS COUNTY PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2284&tinwsys_st_code=CA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2284&tinwsys_st_code=CA&wsnumber=CA1900556, 30 , 2 ," $105,703 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,No Operator Data,No Operator Data,Not In Risk Assessment,,GU
CA1900537,OAK GROVE FAMILY PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2275&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900537.pdf, 109 , 40 ," $105,703 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,NA,At-Risk,0,GW
CA1907028,SPV WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2456&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1907028.pdf, 211 , 71 ," $105,703 ", No Water Bill Data ,No Water Bill Data,Other Private,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,None,Potentially At-Risk,0,GW
CA1900717,CASA DULCE ESTATES,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2343&tinwsys_st_code=CA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2343&tinwsys_st_code=CA&wsnumber=CA1900717, 28 , 16 ," $105,703 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Potentially At-Risk,0,GW
CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2410&tinwsys_st_code=CA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2410&tinwsys_st_code=CA&wsnumber=CA1900913, 495 , 182 ," $112,969 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,Potentially At-Risk,0,GW
CA1900062,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2193&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900062.pdf, 184 , 22 ," $112,969 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,T3,At-Risk,3,GWP
CA1900868,RIVERS END TRAILER PARK,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2396&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900868.pdf, 35 , 45 ," $147,917 ", No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,NA,NA,Potentially At-Risk,1,GW
CA1900599,VALHALLA WATER ASSOCIATION,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2302&tinwsys_st_code=CA&wsnumber=CA1900599,https://drinc.ca.gov/ear/CCR/CCR2019CA1900599.pdf, 25 , 9 ," $148,202 ", No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,None,At-Risk,2,GW
CA1900901,FIRE SUPPRESSION CAMP #19,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2404&tinwsys_st_code=CA&wsnumber=CA1900901,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2404&tinwsys_st_code=CA&wsnumber=CA1900901, 250 , 1 ,   No MHI Data   , No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,No Operator Data,No Operator Data,Not At-Risk,,GU
CA1900975,CALI LAKE RV RESORT,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2431&tinwsys_st_code=CA&wsnumber=CA1900975,https://drinc.ca.gov/ear/CCR/CCR2019CA1900975.pdf, 30 , 47 ,   No MHI Data   , No Water Bill Data ,No Water Bill Data,Mobile Home/Trailer/RV Park,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,HR2W,4,GW
CA1900046,PETER PITCHESS HONOR RANCHO DETN. CTR,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2187&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1900046.pdf," 7,000 "," 1,952 ",   No MHI Data   , No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,Any Level,T2,Not At-Risk,0,GW
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2501&tinwsys_st_code=CA,https://drinc.ca.gov/ear/CCR/CCR2019CA1910022.pdf," 29,197 ", 731 ,   No MHI Data   , No Water Bill Data ,No Water Bill Data,Unknown,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T3,T4,At-Risk,1,SW
CA1910001,CITY OF ALHAMBRA,https://www.cityofalhambra.org/319/Utilities-Department,https://drinc.ca.gov/ear/CCR/CCR2019CA1910001.pdf," 84,649 "," 17,419 "," $64,033 ", No Water Bill Data ,No Water Bill Data,City/Municipal,Municipal Election,No data,City Council," $11,044 ",2,0,2,0,0,1,T3,T3,Not In Risk Assessment,0,SWP
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,https://www.cityofindustry.org/Home/Components/BusinessDirectory/BusinessDirectory/44/148,https://drinc.ca.gov/ear/CCR/CCR2019CA1910029.pdf," 6,813 "," 1,862 "," $76,407 ", No Water Bill Data ,No Water Bill Data,City/Municipal,Municipal Election,No data,City Council," $24,104 ",0,0,0,0,0,5,None,T4,Not At-Risk,0,GW
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",https://www.cityofinglewood.org/463/Water-Works,https://drinc.ca.gov/ear/CCR/CCR2019CA1910051.pdf," 84,448 "," 15,843 "," $56,565 ", No Water Bill Data ,No Water Bill Data,City/Municipal,Municipal Election,2022,City Council," $70,789 ",0,3,2,0,0,0,T2,T4,Not In Risk Assessment,0,SWP
CA1910117,"MONTEBELLO-CITY, WATER DEPT.",https://www.cityofmontebello.com/water-services.html,https://drinc.ca.gov/ear/CCR/CCR2019CA1910117.pdf," 8,228 "," 1,497 "," $54,856 ", No Water Bill Data ,No Water Bill Data,City/Municipal,Municipal Election,No data,City Council," $12,384 ",0,0,4,0,0,1,Any Level,T4,Not At-Risk,0,SWP
